County,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20
MD:Howard,,,,,,,,,,,1,1,3,8,16,18,19,24,26,30,35,49,62,73,81,96,117,142,152,166,180,199,214,236,274,299,319,351,371,386,403,425,452,476,510,516,539,566,593,619,643,687,708,779,803,832,867,897,932,970,993,1011,1062,1099,1139,1171,1206,1224,1235,1260,1287,1315,1354,1380,1419,1468,1498,1552,1590,1642,1671,1720,1736,1764,1819,1872,1909,1932,1949,1980,2009,2038,2079,2099,2130,2161,2196,2225,2316,2337,2376,2340,2355,2332,2348,2353,2387,2414,2428,2441,2428,2441,2458
MD:Montgomery,3,3,3,4,4,5,6,6,6,12,12,15,24,31,33,51,68,83,93,107,127,164,208,255,301,341,388,447,498,566,640,693,793,871,1088,1214,1388,1537,1631,1756,1883,1947,2147,2295,2420,2523,2664,2785,2884,3078,3246,3502,3665,3863,4023,4176,4326,4780,4945,5177,5411,5569,5819,6062,6347,6588,6796,6944,7164,7319,7588,7797,8026,8244,8455,8988,9093,9297,9470,9735,9958,10147,10327,10504,10791,11075,11291,11401,11516,11771,11964,12266,12473,12662,12773,12857,13007,13163,13315,13387,13573,13646,13696,13749,13859,13902,13968,14044,14119,14181,14244,14323,14421
MD:Washington,,,,,,,,,,,,,,,,,1,1,2,2,2,2,5,6,6,7,11,15,17,27,29,34,37,44,57,60,66,72,75,93,96,106,109,116,116,117,123,126,127,139,143,154,173,181,187,197,206,216,225,232,237,238,251,260,259,265,276,283,284,287,305,320,332,338,343,352,364,377,389,398,408,413,413,418,423,441,456,469,472,480,486,516,529,545,548,551,545,551,560,568,570,571,579,579,593,595,601,602,603,611,616,634,653
VA:Albemarle,,,,,,,,,,,,,,,,,1,2,2,2,4,8,8,16,17,19,21,21,23,26,27,32,34,38,41,43,43,46,46,49,50,53,54,56,56,57,61,66,68,71,72,73,76,77,80,81,103,103,105,108,110,110,110,112,116,119,120,123,124,126,130,133,136,138,139,141,142,142,142,143,148,149,161,168,170,180,187,187,199,200,204,213,217,221,251,255,258,260,269,272,275,286,290,293,293,302,304,321,334,340,352,359,367
VA:Arlington,,,,,,,2,2,5,7,8,9,13,14,17,17,22,26,34,36,46,63,63,75,84,86,104,119,128,135,150,181,203,237,254,280,312,349,366,390,401,420,453,485,520,575,593,625,663,686,722,764,790,836,865,912,967,1004,1044,1106,1139,1169,1169,1248,1281,1332,1368,1399,1416,1460,1499,1534,1560,1590,1638,1688,1728,1763,1795,1804,1873,1897,1935,1988,2039,2089,2107,2116,2123,2133,2142,2150,2173,2195,2225,2256,2265,2280,2299,2307,2321,2338,2346,2363,2372,2382,2396,2405,2418,2424,2431,2438,2445
VA:Carroll,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,9,11,12,13,15,19,19,19,25,26,28,33,34,34,39,40,42,45,48,49,50,64,64,66,66,74,77,84,86,88,90,91,96,97,100,105,122,122,125,130,141,149,153,158,159,165,171,173,175,177,178,187,187,188,189,193,196,200
VA:Culpeper,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,3,3,5,6,7,8,8,8,9,10,13,14,17,19,20,24,25,29,32,39,43,51,65,73,84,90,95,103,113,126,129,141,162,177,191,196,201,201,217,239,253,264,276,291,320,329,343,365,374,388,452,494,526,555,574,594,614,638,645,656,666,674,691,713,720,727,732,740,745,764,767,772,773,774,774,777,780,783,787,790,790,792,794,795,795,802,803,803
VA:Fairfax,,,1,2,4,4,4,4,6,10,10,10,12,14,16,16,22,31,43,46,76,124,124,156,187,225,244,288,328,372,387,426,488,532,570,690,777,946,1008,1164,1207,1298,1375,1476,1633,1809,1925,2077,2256,2362,2534,2745,2889,3002,3278,3448,3611,3897,4046,4340,4615,4834,4834,5045,5338,5610,5892,6200,6470,6666,6951,7159,7386,7643,7843,8020,8163,8580,8734,8945,8989,9482,9839,10069,10503,10738,10906,11110,11219,11426,11596,11815,11904,12056,12455,12603,12695,12746,12812,12863,12939,13017,13092,13103,13153,13209,13244,13341,13419,13499,13579,13588,13611
VA:Fauquier,,,,,,,,,,,,,,,,,,,,,,4,4,6,6,6,7,7,8,9,10,10,11,18,17,20,23,25,25,28,28,29,32,35,36,39,41,49,56,64,73,80,87,96,105,109,111,128,128,133,140,147,147,149,153,168,172,180,180,190,200,205,211,213,223,243,251,261,267,269,282,285,300,302,303,308,312,315,323,326,329,334,339,345,355,363,365,370,374,376,380,385,386,393,398,399,401,403,404,409,413,417,415
VA:Frederick,,,,,,,,,,,,,,,,,,,,,2,4,4,4,8,10,12,15,16,20,24,27,31,43,46,54,62,63,65,66,71,73,72,76,81,81,81,83,86,87,87,93,93,95,97,101,105,115,115,121,126,132,132,147,150,162,164,166,175,182,191,195,209,211,217,223,234,245,249,255,262,271,272,296,319,331,344,349,359,371,378,384,388,393,410,409,413,415,416,423,428,433,435,435,440,444,446,449,456,460,461,461,464
VA:Henrico,,,,,,,,,,,,,2,2,2,3,7,8,11,14,20,28,28,31,40,44,62,78,87,112,174,194,207,267,291,319,342,368,379,397,432,453,497,532,559,584,598,621,684,718,729,764,792,817,835,846,876,898,926,954,964,985,985,1025,1032,1054,1067,1083,1106,1146,1174,1198,1226,1252,1272,1299,1321,1339,1375,1411,1446,1492,1546,1579,1624,1678,1754,1820,1858,1919,1933,1946,1983,2033,2096,2128,2146,2162,2170,2193,2234,2264,2289,2311,2332,2342,2368,2383,2413,2426,2448,2463,2500
VA:Loudoun,,,,,,2,2,2,3,5,5,5,5,5,5,9,14,15,15,18,20,43,43,54,61,61,87,105,121,130,150,167,188,209,238,258,274,296,309,324,344,367,378,385,413,425,446,468,475,498,529,564,596,628,688,727,746,832,881,931,961,998,998,1043,1070,1127,1159,1195,1210,1283,1339,1374,1430,1446,1486,1527,1579,1700,1807,1831,1821,2047,2186,2274,2318,2429,2529,2575,2611,2636,2659,2794,2837,2939,3094,3147,3174,3180,3229,3280,3321,3384,3404,3439,3458,3499,3504,3543,3585,3612,3632,3683,3739
VA:Montgomery,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,6,6,7,16,16,17,18,31,32,32,33,34,34,40,42,42,44,48,50,50,50,51,51,54,54,55,56,56,56,56,59,61,61,61,61,64,65,66,66,66,66,66,66,66,66,66,66,67,67,69,69,69,69,70,72,73,73,77,78,80,80,82,85,91,91,94,95,96,96,96,96,96,95,97,97,97,97,107,110,110,112,116,116
VA:Prince William,,,,,,,,1,2,2,3,3,4,4,12,12,14,18,18,23,32,44,44,56,72,79,94,106,117,131,159,175,193,236,263,299,337,390,389,434,508,536,582,644,700,742,793,867,924,1027,1110,1184,1265,1353,1449,1527,1645,1781,1900,2026,2146,2223,2223,2398,2474,2548,2740,2991,3078,3181,3351,3421,3563,3666,3759,3934,4054,4183,4315,4408,4468,4702,4992,5074,5157,5270,5412,5533,5663,5724,5837,5932,6030,6121,6207,6278,6336,6376,6396,6439,6509,6580,6608,6621,6654,6684,6756,6807,6879,6904,6962,7038,7064
VA:Stafford,,,,,,,,,,,,1,1,2,2,2,2,5,6,6,6,11,11,11,13,20,24,28,28,29,38,41,43,49,48,54,60,67,72,87,95,108,120,128,143,152,161,164,170,180,193,198,213,218,221,225,240,251,262,271,288,308,308,334,344,354,374,384,396,413,426,442,458,467,484,501,514,540,552,569,581,599,642,657,672,681,702,713,722,733,738,742,750,765,803,815,824,831,841,862,877,887,893,900,906,917,921,920,924,930,936,949,954
VA:Washington,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,2,2,2,2,3,3,5,5,10,12,15,17,24,24,28,27,27,27,28,27,29,29,29,29,30,30,30,34,34,34,36,36,38,39,39,39,40,40,41,42,42,49,49,48,49,49,49,49,49,49,50,50,51,51,51,51,51,51,51,51,51,51,51,51,52,53,53,53,53,57,57,57,58,58,58,58,58,58,58,58,58,58,59,60,60,60,60,60
VA:Westmoreland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,3,3,5,5,8,8,8,8,8,8,9,9,10,10,10,10,12,14,14,17,20,20,21,22,21,23,25,26,31,30,30,33,35,37,38,38,41,42,42,42,42,42,42,43,42,43,43,46,48,50,54,61,63,63,63,65,68,70,76,80,80,81,81,82,83,83,83,84,85,87,87,87,87,87,87,88,91,91,92,92,92
AllCounties,3,3,5,8,13,16,26,27,37,60,65,77,107,134,169,235,297,378,445,514,669,952,1117,1449,1669,1888,2248,2669,3044,3539,4083,4601,5104,5643,6748,7494,8329,9225,9772,10577,11168,11835,12650,13437,14339,15092,15926,16728,17566,18585,19618,20849,21832,22688,23638,24569,25683,27548,28674,30046,31276,32099,32794,34263,35597,36764,38124,39286,40241,41297,42715,43830,45101,46084,47233,48923,49907,51535,52613,53717,54595,56263,57654,58677,60163,61534,62870,63856,64761,65740,66712,67890,68814,69786,70975,71663,72296,72870,73563,74087,74844,75415,75804,76177,76705,77087,77527,78055,78564,78956,79403,79814,80279
